taxID,sciName,HGNC_Symbol,gene_in_dataset
9606,Homo sapiens,DPM1,TRUE
9606,Homo sapiens,SCYL3,TRUE
9606,Homo sapiens,FGR,TRUE
9606,Homo sapiens,GCLC,TRUE
9606,Homo sapiens,NFYA,TRUE
9606,Homo sapiens,LAS1L,TRUE
9606,Homo sapiens,ENPP4,TRUE
9606,Homo sapiens,CYP51A1,TRUE
9606,Homo sapiens,KRIT1,TRUE
9606,Homo sapiens,RAD52,TRUE
9606,Homo sapiens,BAD,TRUE
9606,Homo sapiens,MAD1L1,TRUE
9606,Homo sapiens,LASP1,TRUE
9606,Homo sapiens,CYP26B1,TRUE
9606,Homo sapiens,CFLAR,TRUE
9606,Homo sapiens,NDUFAF7,TRUE
9606,Homo sapiens,RBM5,TRUE
9606,Homo sapiens,ARF5,TRUE
9606,Homo sapiens,AK2,TRUE
9606,Homo sapiens,FKBP4,TRUE
9606,Homo sapiens,KDM1A,TRUE
9606,Homo sapiens,RBM6,TRUE
9606,Homo sapiens,CAMKK1,TRUE
9606,Homo sapiens,NDUFAB1,TRUE
9606,Homo sapiens,PDK4,TRUE
9606,Homo sapiens,ZMYND10,TRUE
9606,Homo sapiens,ABCB5,TRUE
9606,Homo sapiens,SLC25A13,TRUE
9606,Homo sapiens,ST7,TRUE
9606,Homo sapiens,CDC27,TRUE
9606,Homo sapiens,SLC4A1,TRUE
9606,Homo sapiens,HCCS,TRUE
9606,Homo sapiens,UPF1,TRUE
9606,Homo sapiens,SLC25A5,TRUE
9606,Homo sapiens,POLR2J,TRUE
9606,Homo sapiens,DHX33,TRUE
9606,Homo sapiens,LIG3,TRUE
9606,Homo sapiens,RPAP3,TRUE
9606,Homo sapiens,CIAPIN1,TRUE
9606,Homo sapiens,SPPL2B,TRUE
9606,Homo sapiens,PRKAR2B,TRUE
9606,Homo sapiens,CREBBP,TRUE
9606,Homo sapiens,MPO,TRUE
9606,Homo sapiens,WDR54,TRUE
9606,Homo sapiens,ABCB4,TRUE
9606,Homo sapiens,RHBDD2,TRUE
9606,Homo sapiens,SOX8,TRUE
9606,Homo sapiens,IBTK,TRUE
9606,Homo sapiens,PDK2,TRUE
9606,Homo sapiens,ITGA3,TRUE
9606,Homo sapiens,ZFX,TRUE
9606,Homo sapiens,ITGA2B,TRUE
9606,Homo sapiens,REX1BD,TRUE
9606,Homo sapiens,OSBPL7,TRUE
9606,Homo sapiens,YBX2,TRUE
9606,Homo sapiens,AP2B1,TRUE
9606,Homo sapiens,ZNF263,TRUE
9606,Homo sapiens,CX3CL1,TRUE
9606,Homo sapiens,TNFRSF12A,TRUE
9606,Homo sapiens,DLX6,TRUE
9606,Homo sapiens,MAP3K9,TRUE
9606,Homo sapiens,RALA,TRUE
9606,Homo sapiens,AGK,TRUE
9606,Homo sapiens,CCL26,TRUE
9606,Homo sapiens,DBF4,TRUE
9606,Homo sapiens,TBXA2R,TRUE
9606,Homo sapiens,IFRD1,TRUE
9606,Homo sapiens,COX10,TRUE
9606,Homo sapiens,PAF1,TRUE
9606,Homo sapiens,VPS41,TRUE
9606,Homo sapiens,ELAC2,TRUE
9606,Homo sapiens,PNPLA4,TRUE
9606,Homo sapiens,CDKL3,TRUE
9606,Homo sapiens,MARK4,TRUE
9606,Homo sapiens,PROM1,TRUE
9606,Homo sapiens,PAFAH1B1,TRUE
9606,Homo sapiens,KIAA0100,TRUE
9606,Homo sapiens,SLC13A2,TRUE
9606,Homo sapiens,GAS7,TRUE
9606,Homo sapiens,CD79B,TRUE
9606,Homo sapiens,SCN4A,TRUE
9606,Homo sapiens,RHBDF1,TRUE
9606,Homo sapiens,CACNA2D2,TRUE
9606,Homo sapiens,TSR3,TRUE
9606,Homo sapiens,PIGQ,TRUE
9606,Homo sapiens,TEAD3,TRUE
9606,Homo sapiens,SELE,TRUE
9606,Homo sapiens,DNAJC11,TRUE
9606,Homo sapiens,MYLIP,TRUE
9606,Homo sapiens,NOX1,TRUE
9606,Homo sapiens,PSMB1,TRUE
9606,Homo sapiens,CDKL5,TRUE
9606,Homo sapiens,CAMK1G,TRUE
9606,Homo sapiens,CDK11A,TRUE
9606,Homo sapiens,NADK,TRUE
9606,Homo sapiens,ADAM22,TRUE
9606,Homo sapiens,CELSR3,TRUE
9606,Homo sapiens,SS18L2,TRUE
9606,Homo sapiens,CRY1,TRUE
9606,Homo sapiens,MED24,TRUE
9606,Homo sapiens,SEC62,TRUE
9606,Homo sapiens,RPS20,TRUE
9606,Homo sapiens,CSDE1,TRUE
9606,Homo sapiens,REV3L,TRUE
9606,Homo sapiens,IYD,TRUE
9606,Homo sapiens,VTA1,TRUE
9606,Homo sapiens,BAZ1B,TRUE
9606,Homo sapiens,RANBP9,TRUE
9606,Homo sapiens,SPRTN,TRUE
9606,Homo sapiens,METTL13,TRUE
9606,Homo sapiens,ZNF207,TRUE
9606,Homo sapiens,UQCRC1,TRUE
9606,Homo sapiens,CD9,TRUE
9606,Homo sapiens,HHATL,TRUE
9606,Homo sapiens,NCAPD2,TRUE
9606,Homo sapiens,IFFO1,TRUE
9606,Homo sapiens,PHF7,TRUE
9606,Homo sapiens,SLC6A13,TRUE
9606,Homo sapiens,LRRC23,TRUE
9606,Homo sapiens,BTK,TRUE
9606,Homo sapiens,FYN,TRUE
9606,Homo sapiens,ELOA,TRUE
9606,Homo sapiens,MRC2,TRUE
9606,Homo sapiens,NME1-NME2,TRUE
9606,Homo sapiens,ABHD5,TRUE
9606,Homo sapiens,AKAP8L,TRUE
9606,Homo sapiens,MBTD1,TRUE
9606,Homo sapiens,UTP18,TRUE
9606,Homo sapiens,TTC19,TRUE
9606,Homo sapiens,PTBP1,TRUE
9606,Homo sapiens,LARS2,TRUE
9606,Homo sapiens,PIK3C2A,TRUE
9606,Homo sapiens,PLAUR,TRUE
9606,Homo sapiens,ANLN,TRUE
9606,Homo sapiens,RABGAP1,TRUE
9606,Homo sapiens,DCN,TRUE
9606,Homo sapiens,QPCTL,TRUE
9606,Homo sapiens,PPP5C,TRUE
9606,Homo sapiens,MAP4K3,TRUE
9606,Homo sapiens,TYROBP,TRUE
9606,Homo sapiens,GABRA3,TRUE
9606,Homo sapiens,BRCA1,TRUE
9606,Homo sapiens,ERCC1,TRUE
9606,Homo sapiens,MBTPS2,TRUE
9606,Homo sapiens,EXTL3,TRUE
9606,Homo sapiens,NR1H4,TRUE
9606,Homo sapiens,ELOVL5,TRUE
9606,Homo sapiens,MAP4K5,TRUE
9606,Homo sapiens,PSMC4,TRUE
9606,Homo sapiens,CLDN11,TRUE
9606,Homo sapiens,SLC25A39,TRUE
9606,Homo sapiens,MVP,TRUE
9606,Homo sapiens,NUB1,TRUE
9606,Homo sapiens,PGM3,TRUE
9606,Homo sapiens,CLK1,TRUE
9606,Homo sapiens,POLR3B,TRUE
9606,Homo sapiens,RNF14,TRUE
9606,Homo sapiens,DNASE1L1,TRUE
9606,Homo sapiens,DDX11,TRUE
9606,Homo sapiens,HEBP1,TRUE
9606,Homo sapiens,MAMLD1,TRUE
9606,Homo sapiens,TACC3,TRUE
9606,Homo sapiens,UFL1,TRUE
9606,Homo sapiens,POLA2,TRUE
9606,Homo sapiens,ZC3H3,TRUE
9606,Homo sapiens,ACP3,TRUE
9606,Homo sapiens,MDH1,TRUE
9606,Homo sapiens,SLC30A9,TRUE
9606,Homo sapiens,COX15,TRUE
9606,Homo sapiens,YAF2,TRUE
9606,Homo sapiens,BID,TRUE
9606,Homo sapiens,MATR3,TRUE
9606,Homo sapiens,XYLT2,TRUE
9606,Homo sapiens,RGPD5,TRUE
9606,Homo sapiens,NUDCD3,TRUE
9606,Homo sapiens,IGF1,TRUE
9606,Homo sapiens,SLC38A5,TRUE
9606,Homo sapiens,RALBP1,TRUE
9606,Homo sapiens,CNTN1,TRUE
9606,Homo sapiens,SLC11A1,TRUE
9606,Homo sapiens,WWTR1,TRUE
9606,Homo sapiens,AGPS,TRUE
9606,Homo sapiens,STEEP1,TRUE
9606,Homo sapiens,ATP1A2,TRUE
9606,Homo sapiens,TTC27,TRUE
9606,Homo sapiens,PHLDB1,TRUE
9606,Homo sapiens,MARCO,TRUE
9606,Homo sapiens,HGF,TRUE
9606,Homo sapiens,ZRANB1,TRUE
9606,Homo sapiens,MNAT1,TRUE
9606,Homo sapiens,MRE11,TRUE
9606,Homo sapiens,PLEKHB1,TRUE
9606,Homo sapiens,CYP3A43,TRUE
9606,Homo sapiens,SPAST,TRUE
9606,Homo sapiens,OSBPL5,TRUE
9606,Homo sapiens,AQR,TRUE
9606,Homo sapiens,RTF2,TRUE
9606,Homo sapiens,RNH1,TRUE
9606,Homo sapiens,NDUFS1,TRUE
9606,Homo sapiens,RB1CC1,TRUE
9606,Homo sapiens,ERP44,TRUE
9606,Homo sapiens,ALAS1,TRUE
9606,Homo sapiens,BIRC3,TRUE
9606,Homo sapiens,AKAP11,TRUE
9606,Homo sapiens,GLRX2,TRUE
9606,Homo sapiens,SNAPC1,TRUE
9606,Homo sapiens,STRAP,TRUE
9606,Homo sapiens,ABCC2,TRUE
9606,Homo sapiens,EHD2,TRUE
9606,Homo sapiens,DEPDC1,TRUE
9606,Homo sapiens,PHF20,TRUE
9606,Homo sapiens,NR1H3,TRUE
9606,Homo sapiens,TYMP,TRUE
9606,Homo sapiens,NCAPH2,TRUE
9606,Homo sapiens,SEC63,TRUE
9606,Homo sapiens,KPNA6,TRUE
9606,Homo sapiens,VIM,TRUE
9606,Homo sapiens,CD44,TRUE
