size,kw.statistic,kw.pvalue,comparison,dunn.z,dunn.p.unadj,dunn.p.adj,mean_diff
20,99405.7491052109,< 2.2e-16,1 - 2,40.2866958562837,0,0,0.025
20,99405.7491052109,< 2.2e-16,1 - 3,134.233448518309,0,0,0.083
20,99405.7491052109,< 2.2e-16,1 - 4,278.580184827067,0,0,0.132
20,99405.7491052109,< 2.2e-16,1 - 5,150.165627572025,0,0,0.238
20,99405.7491052109,< 2.2e-16,1 - 6,16.4312814982958,1.14219433414151e-60,5.71097167070753e-60,0.285
20,99405.7491052109,< 2.2e-16,2 - 3,84.7180710170681,0,0,0.058
20,99405.7491052109,< 2.2e-16,2 - 4,188.632105920038,0,0,0.106
20,99405.7491052109,< 2.2e-16,2 - 5,132.506689229528,0,0,0.213
20,99405.7491052109,< 2.2e-16,2 - 6,15.0760194160589,2.32893236375093e-51,9.31572945500371e-51,0.26
20,99405.7491052109,< 2.2e-16,3 - 4,81.9173246260693,0,0,0.048
20,99405.7491052109,< 2.2e-16,3 - 5,95.4194219909732,0,0,0.155
20,99405.7491052109,< 2.2e-16,3 - 6,11.6951637410507,1.34926707223163e-31,4.04780121669488e-31,0.202
20,99405.7491052109,< 2.2e-16,4 - 5,66.9315392535018,0,0,0.107
20,99405.7491052109,< 2.2e-16,4 - 6,8.85449135458129,8.4066280751685e-19,1.6813256150337e-18,0.154
20,99405.7491052109,< 2.2e-16,5 - 6,2.77664741005082,0.00549227235147702,0.00549227235147702,0.047
100,137969.191227297,< 2.2e-16,1 - 2,39.5481566245372,0,0,0.027
100,137969.191227297,< 2.2e-16,1 - 3,148.748953501689,0,0,0.097
100,137969.191227297,< 2.2e-16,1 - 4,324.350837667006,0,0,0.159
100,137969.191227297,< 2.2e-16,1 - 5,181.350962705745,0,0,0.28
100,137969.191227297,< 2.2e-16,1 - 6,21.7056187508054,1.81563105008827e-104,9.07815525044137e-104,0.36
100,137969.191227297,< 2.2e-16,2 - 3,98.1658581162924,0,0,0.07
100,137969.191227297,< 2.2e-16,2 - 4,227.110813631484,0,0,0.131
100,137969.191227297,< 2.2e-16,2 - 5,163.320271834573,0,0,0.253
100,137969.191227297,< 2.2e-16,2 - 6,20.3742286136699,2.8314131599715e-92,1.1325652639886e-91,0.333
100,137969.191227297,< 2.2e-16,3 - 4,103.034752194003,0,0,0.062
100,137969.191227297,< 2.2e-16,3 - 5,120.280583894144,0,0,0.183
100,137969.191227297,< 2.2e-16,3 - 6,16.456541615325,7.52805153833712e-61,2.25841546150114e-60,0.263
100,137969.191227297,< 2.2e-16,4 - 5,84.4567651002189,0,0,0.121
100,137969.191227297,< 2.2e-16,4 - 6,12.8840134636706,5.53791127281433e-38,1.10758225456287e-37,0.202
100,137969.191227297,< 2.2e-16,5 - 6,5.20836401754655,1.90512893167162e-07,1.90512893167162e-07,0.081
200,132681.406778773,< 2.2e-16,1 - 2,39.9787317104289,0,0,0.028
200,132681.406778773,< 2.2e-16,1 - 3,144.470655635614,0,0,0.096
200,132681.406778773,< 2.2e-16,1 - 4,319.907779123762,0,0,0.158
200,132681.406778773,< 2.2e-16,1 - 5,174.855567484392,0,0,0.266
200,132681.406778773,< 2.2e-16,1 - 6,20.662724913833,7.50096782566411e-95,3.75048391283206e-94,0.336
200,132681.406778773,< 2.2e-16,2 - 3,94.0231366378431,0,0,0.068
200,132681.406778773,< 2.2e-16,2 - 4,223.010431083739,0,0,0.13
200,132681.406778773,< 2.2e-16,2 - 5,156.802137796728,0,0,0.238
200,132681.406778773,< 2.2e-16,2 - 6,19.3170626507809,3.85999421447917e-83,1.54399768579167e-82,0.308
200,132681.406778773,< 2.2e-16,3 - 4,103.899530548645,0,0,0.062
200,132681.406778773,< 2.2e-16,3 - 5,115.576278177925,0,0,0.17
200,132681.406778773,< 2.2e-16,3 - 6,15.5647183792153,1.26425347729536e-54,3.79276043188609e-54,0.24
200,132681.406778773,< 2.2e-16,4 - 5,79.2792771249153,0,0,0.108
200,132681.406778773,< 2.2e-16,4 - 6,11.9619463734331,5.62283010512609e-33,1.12456602102522e-32,0.178
200,132681.406778773,< 2.2e-16,5 - 6,4.75733460796918,1.96165861129479e-06,1.96165861129479e-06,0.07
300,146389.815016349,< 2.2e-16,1 - 2,40.1364198347304,0,0,0.029
300,146389.815016349,< 2.2e-16,1 - 3,149.438293621703,0,0,0.102
300,146389.815016349,< 2.2e-16,1 - 4,337.464792248936,0,0,0.17
300,146389.815016349,< 2.2e-16,1 - 5,178.620111526796,0,0,0.278
300,146389.815016349,< 2.2e-16,1 - 6,21.2190176968542,6.37417895194231e-100,3.18708947597116e-99,0.352
300,146389.815016349,< 2.2e-16,2 - 3,98.2800460573428,0,0,0.073
300,146389.815016349,< 2.2e-16,2 - 4,237.321645437082,0,0,0.142
300,146389.815016349,< 2.2e-16,2 - 5,160.432462144836,0,0,0.25
300,146389.815016349,< 2.2e-16,2 - 6,19.8679648946052,7.70643876648794e-88,3.08257550659518e-87,0.323
