size,kw.statistic,kw.pvalue,comparison,dunn.z,dunn.p.unadj,dunn.p.adj
20,99238.7167747765,0,1 - 2,41.886812934877,0,0
20,99238.7167747765,0,1 - 3,136.865602089534,0,0
20,99238.7167747765,0,2 - 3,85.6976707851359,0,0
20,99238.7167747765,0,1 - 4,283.956152242621,0,0
20,99238.7167747765,0,2 - 4,191.435194837992,0,0
20,99238.7167747765,0,3 - 4,83.4557307058434,0,0
20,99238.7167747765,0,1 - 5,135.229207603562,0,0
20,99238.7167747765,0,2 - 5,117.297195138347,0,0
20,99238.7167747765,0,3 - 5,79.8929452525038,0,0
20,99238.7167747765,0,4 - 5,50.3471868682706,0,0
20,99238.7167747765,0,1 - 6,14.3195746408938,1.65130806773884e-46,8.25654033869418e-46
20,99238.7167747765,0,2 - 6,12.9109662471207,3.903715468424e-38,1.5614861873696e-37
20,99238.7167747765,0,3 - 6,9.49115334952492,2.28491982886986e-21,6.85475948660957e-21
20,99238.7167747765,0,4 - 6,6.59652286099462,4.20912624925239e-11,8.41825249850477e-11
20,99238.7167747765,0,5 - 6,2.024891294694,0.0428785276980514,0.0428785276980514
100,135588.432128282,0,1 - 2,39.8718303946457,0,0
100,135588.432128282,0,1 - 3,149.319658500063,0,0
100,135588.432128282,0,2 - 3,98.397829156711,0,0
100,135588.432128282,0,1 - 4,324.748936894931,0,0
100,135588.432128282,0,2 - 4,227.109610758383,0,0
100,135588.432128282,0,3 - 4,102.76693158687,0,0
100,135588.432128282,0,1 - 5,171.86740772111,0,0
100,135588.432128282,0,2 - 5,153.913905522988,0,0
100,135588.432128282,0,3 - 5,110.837939799185,0,0
100,135588.432128282,0,4 - 5,74.8315885063753,0,0
100,135588.432128282,0,1 - 6,20.2227303189185,6.17682036857887e-91,3.08841018428943e-90
100,135588.432128282,0,2 - 6,18.8807334267861,1.64288827528804e-79,6.57155310115216e-79
100,135588.432128282,0,3 - 6,14.9538782212444,1.46936849529228e-50,4.40810548587685e-50
100,135588.432128282,0,4 - 6,11.3902685975996,4.67546235006706e-30,9.35092470013413e-30
100,135588.432128282,0,5 - 6,4.58947507314903,4.44362056266415e-06,4.44362056266415e-06
200,132451.680889645,0,1 - 2,40.2221239170027,0,0
200,132451.680889645,0,1 - 3,144.889102841525,0,0
200,132451.680889645,0,2 - 3,94.1881124869802,0,0
200,132451.680889645,0,1 - 4,320.090419016482,0,0
200,132451.680889645,0,2 - 4,222.91331990361,0,0
200,132451.680889645,0,3 - 4,103.617559781887,0,0
200,132451.680889645,0,1 - 5,173.712637592192,0,0
200,132451.680889645,0,2 - 5,155.594534161233,0,0
200,132451.680889645,0,3 - 5,114.306245279261,0,0
200,132451.680889645,0,4 - 5,78.0788753693699,0,0
200,132451.680889645,0,1 - 6,20.2686280783982,2.4334651025565e-91,1.21673255127825e-90
200,132451.680889645,0,2 - 6,18.9148640788706,8.60420162626961e-80,3.44168065050784e-79
200,132451.680889645,0,3 - 6,15.1559611451245,6.91956832330597e-52,2.07587049699179e-51
200,132451.680889645,0,4 - 6,11.5628743314172,6.3545505344025e-31,1.2709101068805e-30
200,132451.680889645,0,5 - 6,4.46816521101354,7.88933658357883e-06,7.88933658357883e-06
300,147560.55180173,0,1 - 2,40.1841316865126,0,0
300,147560.55180173,0,1 - 3,149.460510402491,0,0
300,147560.55180173,0,2 - 3,98.2595350504497,0,0
300,147560.55180173,0,1 - 4,337.419954637211,0,0
300,147560.55180173,0,2 - 4,237.236139759358,0,0
300,147560.55180173,0,3 - 4,112.552019520232,0,0
300,147560.55180173,0,1 - 5,183.000628607775,0,0
300,147560.55180173,0,2 - 5,164.70594235754,0,0
300,147560.55180173,0,3 - 5,121.616965815139,0,0
300,147560.55180173,0,4 - 5,82.1890292585806,0,0
300,147560.55180173,0,1 - 6,21.4485240797217,4.71372119217131e-102,2.35686059608566e-101
300,147560.55180173,0,2 - 6,20.0958295803939,8.02619346306774e-90,3.2104773852271e-89
300,147560.55180173,0,3 - 6,16.1744213324134,7.64123127441439e-59,2.29236938232432e-58
300,147560.55180173,0,4 - 6,12.2714467557519,1.28928794441579e-34,2.57857588883157e-34
300,147560.55180173,0,5 - 6,4.8028914034728,1.56390713786415e-06,1.56390713786415e-06
